CodiceStazione;NomeStazione;NomeComune;Provincia;QuotaStazione;EPSG3003_X;EPSG3003_Y;EPSG4258_LON;EPSG4258_LAT;Bacino;SottoBacino;ZeroIdrometrico
0092;Col Indes (Tambre);TAMBRE;BL;1181;1765830;5113061;12.44015627;46.11907392;PIAVE: VENETO;PIAVE - Raj;>>
0260;Colognola ai Colli;COLOGNOLA AI COLLI;VR;34;1673957;5032591;11.22419922;45.42497835;ADIGE: VENETO;ADIGE;>>
0098;Concadirame (Rovigo);ROVIGO;RO;6;1714125;4996919;11.72081886;45.09313663;FISS.TAR.C.BIANCO;FTC: DELTA PO ADIGE;>>
0100;Conegliano;CONEGLIANO;TV;90;1754728;5086125;12.28232702;45.88132477;LIVENZA: VENETO;LIVENZA - Monticano;>>
0073;Contra' Doppio (Posina);POSINA;VI;724;1672922;5075033;11.2251192;45.80699205;BRENTA: VENETO;BRENTA - Posina;>>
0002;Cordevole a la Vizza;LIVINALLONGO DEL COL DI LANA;BL;1813;1718635;5152339;11.84843594;46.48892309;PIAVE: VENETO;PIAVE - Cordevole;>>
0277;Cordevole a Ponte Mas;SOSPIROLO;BL;363;1741345;5115965;12.12522031;46.15431312;PIAVE: VENETO;PIAVE - Cordevole;360.75
0006;Cordevole a Saviner;ROCCA PIETORE;BL;1014;1729455;5147590;11.98688899;46.44264642;PIAVE: VENETO;PIAVE - Cordevole;>>
0237;Cortina d'Ampezzo - Gilardon;CORTINA D'AMPEZZO;BL;1271;1739833;5158457;12.12739699;46.53668964;PIAVE: VENETO;PIAVE - Boite;>>
0246;Costalta;SAN PIETRO DI CADORE;BL;1232;1773984;5164594;12.57556615;46.57877599;PIAVE: VENETO;PIAVE;>>
0088;Crespadoro;CRESPADORO;VI;374;1672230;5054913;11.20907007;45.62621136;ADIGE: VENETO;ADIGE: ALTO CHIAMPO;>>
0156;Crespano del Grappa;CRESPANO DEL GRAPPA;TV;404;1720613;5080407;11.84066348;45.84169964;BRENTA: VENETO;BRENTA - Muson dei Sassi;>>
0120;Dolce';DOLCE';VR;105;1644210;5051241;10.84874997;45.59957097;ADIGE: VENETO;ADIGE: ALTA VAL D'ADIGE VENETA;>>
0059;Domegge di Cadore;DOMEGGE DI CADORE;BL;822;1761891;5150944;12.41035969;46.46094955;PIAVE: VENETO;PIAVE;>>
0164;Eraclea;ERACLEA;VE;-1;1789119;5056667;12.70706142;45.60316601;PIANURA TRA LIVENZA E PIAVE;PIAVE;>>
0142;Faedo (Cinto Euganeo);CINTO EUGANEO;PD;250;1711521;5020363;11.69771962;45.30471743;BRENTA: VENETO;BRENTA;>>
0223;Falcade;FALCADE;BL;1150;1720787;5137567;11.86945693;46.35544921;PIAVE: VENETO;PIAVE - Cordevole;>>
0047;Faloria;CORTINA D'AMPEZZO;BL;2235;1743531;5157576;12.17508664;46.52744551;PIAVE: VENETO;PIAVE - Boite;>>
0195;Farra di Soligo;FARRA DI SOLIGO;TV;169;1740836;5087883;12.10445916;45.9021246;PIAVE: VENETO;PIAVE: PEDEROBBA;>>
